,Name,Runs,Mean,Std,Max,Min
0,SGDC,100,0.6178132301028411,0.04803201481286614,0.7668685121107266,0.2392055267702936
1,MLP,100,0.6159427623410404,0.014113061309365557,0.6506298237949615,0.5798303834808259
2,Ridge,100,0.6120859980672587,0.013024543786510282,0.6483480371091281,0.5833343495439247
3,SVC,100,0.6120354931682632,0.013747031692712719,0.647586841499885,0.5819956996097794
4,LR,100,0.6117962372407613,0.013148875386547243,0.6407923936333026,0.5733232832882107
5,BNB,100,0.6100173550582848,0.2088980196347079,0.7873811581676751,0.2504317789291883
6,NC,100,0.6093057054052734,0.012028177580513796,0.6493288390406873,0.5818510765550239
7,GNB,100,0.6089829728193883,0.012263664024220059,0.6358516483516483,0.5799085520133016
8,RF,100,0.6022748698431087,0.011702048107843196,0.6310882800608828,0.576887489865026
9,XGB,100,0.600976648260286,0.013179005991790548,0.6329797954350783,0.5704719178403388
10,ADA,100,0.5847225459181319,0.013665704705280963,0.6180243891382202,0.547672508214677
11,Perc,100,0.5840057451341466,0.13661213015879617,0.7711937716262975,0.22409326424870465
12,KNN,100,0.5809930237457792,0.01245171013826263,0.6072761093920478,0.5469598790342506
13,PAC,100,0.5663501337505837,0.16831580541389377,0.781763180639585,0.22150259067357514
14,NuSVC,100,0.5648783709697034,0.012345269430338276,0.5991487344944814,0.5355287469405384
15,DTC,100,0.5378023621421372,0.013901603131975214,0.5674429511556144,0.4988098851659399
