,Name,Runs,Mean,Std,Max,Min
0,SGDC,25,0.62367415487641,0.023516783988337894,0.6829057269308842,0.5869423202551589
1,MLP,25,0.6172733829661309,0.01422364256605139,0.6571065258303521,0.5948647312283676
2,Ridge,25,0.6168527368126232,0.016690593030379168,0.646357401501163,0.5887075158537771
3,LR,25,0.6160740282338704,0.011991961046364791,0.6532940474239834,0.5971864568431091
4,NC,25,0.6151222230757319,0.010676371607768567,0.6376959053807928,0.5887417943414284
5,SVC,25,0.6137427722859867,0.013373740750034793,0.6419520547945206,0.590936448365563
6,GNB,25,0.6081483948901188,0.015485218551434709,0.6374912609097674,0.5838494977251227
7,RF,25,0.6056260892401515,0.016188167313648673,0.6313825074778734,0.573439102198929
8,XGB,25,0.6014284429075708,0.012585590276404535,0.6262796320987096,0.579686839757735
9,Perc,25,0.5982002227707627,0.11603842050339556,0.734873949579832,0.23576214405360135
10,ADA,25,0.5870522362944004,0.009601968610991635,0.6101882581826505,0.5718044592161751
11,KNN,25,0.5743662732970841,0.014936606632801976,0.6011210051583528,0.5388841789487413
12,BNB,25,0.5670003143509669,0.24474877003266668,0.7842149454240135,0.25963149078726966
13,NuSVC,25,0.5591859573231399,0.010253622623057809,0.5799334604849928,0.5357789558963572
14,DTC,25,0.541987952603871,0.014687773620750893,0.570690856567355,0.5120477831172364
15,PAC,25,0.5187428328575185,0.17519730500820047,0.7330259849119866,0.22780569514237856
