,Name,Runs,Mean,Std,Max,Min
0,BNB,25,0.7304910485977416,0.13731253981230673,0.7871536523929471,0.26256281407035176
1,SGDC,25,0.6394982203312432,0.014037799260734974,0.67656038647343,0.6184417707541623
2,MLP,25,0.638826831818427,0.013245868970129186,0.6627159985893969,0.610641449242338
3,Ridge,25,0.6383214318375873,0.010571334573000656,0.659004587598572,0.6180151641046947
4,LR,25,0.637593625946324,0.012531538231055225,0.6613375192512736,0.6107982708933717
5,SVC,25,0.6370007878922275,0.009989734707890819,0.6601353727144866,0.6178601209089014
6,Perc,25,0.6309571280884305,0.10526023671524332,0.7598491198658843,0.22948073701842547
7,NC,25,0.6266155029947054,0.011644206452597488,0.6480225670751438,0.6039725231709473
8,RF,25,0.622654863376197,0.012771345340341784,0.6431001253889379,0.5870427881297446
9,ADA,25,0.6218293011470698,0.011425548292468172,0.6428820534281927,0.5973378254352324
10,XGB,25,0.6199531262215536,0.008204074684478238,0.6322911627670138,0.6020222247292419
11,GNB,25,0.6164294268148909,0.013128358939050176,0.6359760984182776,0.5905847925269795
12,PAC,25,0.6098009294139772,0.13754262568696662,0.7319630872483222,0.22906197654941374
13,KNN,25,0.6091231025637656,0.014472721148731523,0.6316791130956964,0.5854044595700961
14,NuSVC,25,0.5808453190997066,0.010659611806338964,0.5997645372645373,0.5576494427558257
15,DTC,25,0.5540619420153627,0.017466551359778596,0.5858018472822766,0.5065985943955451
