,Name,Runs,Mean,Std,Max,Min
0,BNB,25,0.6590658878678437,0.16663210485577365,0.7783059636992221,0.26338514680483593
1,Ridge,25,0.636033480142233,0.010172504760753652,0.6580731259062238,0.6159610282338807
2,SVC,25,0.6353871313364975,0.012457654206620136,0.6599530742576565,0.608472172988302
3,MLP,25,0.6318845795492682,0.014597459280630904,0.6634777593093354,0.6025053158186058
4,LR,25,0.6309364938073599,0.01466580724706239,0.659805427547363,0.5962338230658828
5,NC,25,0.6265328767284865,0.011695681886424315,0.6432788679820901,0.5968927222233873
6,SGDC,25,0.6235961264551996,0.08121975829359383,0.6640868356735515,0.23056994818652848
7,XGB,25,0.620979083909209,0.011634161261249196,0.6429374413203538,0.5950843782693737
8,RF,25,0.6174175540345462,0.013201324808122545,0.6409003303964758,0.5894223013378577
9,GNB,25,0.6141304694875388,0.0113881733761562,0.6373215967001928,0.587745549532682
10,KNN,25,0.610197821544476,0.013534268343145844,0.6367638560357793,0.571871930590418
11,ADA,25,0.6082478106854498,0.009976699355632798,0.6255164481251437,0.5874654907151214
12,NuSVC,25,0.587197786941942,0.012900712718801296,0.6079960557572498,0.5555385245777245
13,Perc,25,0.5748062837613156,0.15381073297735973,0.7019235878633296,0.2219343696027634
14,DTC,25,0.5457171029549719,0.012596052332255607,0.5682521736789685,0.5221725905345852
15,PAC,25,0.5454098703788044,0.1702542463339818,0.7344290657439446,0.23013816925734024
