MatchID,Winner,WinChance,Winner_mu,Winner_sigma,Looser,Looser_mu,Looser_sigma
2307528,Virtus.pro,0.626,28.688781961823068,0.8224962938866398,Gambit,26.58157054030293,0.9913471758499492
2307529,G2,0.509,27.183921598477845,0.8115066771024404,Astralis,26.87030451203268,0.8167221684231998
2307530,SK,0.449,26.3312228656579,0.8049551940389388,Natus Vincere,26.912346065709293,0.8172678740163223
2307531,FaZe,0.663,27.42539495357589,0.8280158333037778,Liquid,24.76940122949379,0.8092181500352972
2307532,OpTic,0.374,25.74213782725382,0.8212413987117068,FlipSid3,27.442106324227222,0.8272558440524876
2307533,G2,0.383,27.27492234261191,0.8122099544197757,North,26.92873545777003,3.6929497342499573
2307534,fnatic,0.612,28.426943544542503,0.8120123741941908,Envy,26.578358336338354,0.8109057169030645
2307535,mousesports,0.601,26.372232016511806,0.8105274928729861,Liquid,24.69854097232061,0.8091753208437467
2307536,OpTic,0.408,25.849705127415234,0.8201433048544827,GODSENT,26.99743878392056,0.9462828414185921
2307537,SK,0.464,26.424578530707713,0.8044229281621229,Astralis,26.774228672679502,0.815914976797545
2307538,Gambit,0.444,26.72739585634006,0.9857961151538503,FaZe,27.323353316524347,0.8269100464102486
2307539,North,0.496,28.491894863409158,3.3512828930170127,GODSENT,26.894059769878616,0.9443720273131717
2307540,FaZe,0.549,27.40622443593873,0.8262415053625414,Envy,26.498632072959214,0.8105937562466276
2307541,Liquid,0.365,24.812065839979432,0.80817432824636,Astralis,26.658824751749005,0.8147468729871268
2307542,Astralis,0.483,26.75096163009363,0.8140651758721303,Natus Vincere,26.819644035142755,0.8165275897143054
2307543,fnatic,0.611,28.496281323307244,0.8119986064111103,Gambit,26.62554582098183,0.9816855142772657
2307544,Virtus.pro,0.512,28.76679933754691,0.8228808033990566,North,27.2090366672541,3.087306557851127
2307545,SK,0.435,26.523114936507366,0.8037943710159627,FaZe,27.302327805715485,0.8250909743395726
2307546,Astralis,0.386,26.861549237319014,0.8130199231012961,fnatic,28.386248659118706,0.811004049918179
2307547,Virtus.pro,0.646,28.832441790615206,0.8227844676927726,SK,26.460451721753426,0.8040876649289516
2307548,Astralis,0.371,26.974744489929705,0.811950431126971,Virtus.pro,28.716539649757983,0.82147195530362
2307615,iGame.com,0.519,27.981346580476497,2.914099725310716,BIG,24.483092641406515,4.326673006287163
2307686,FlipSid3,0.594,27.48615615826416,0.8298476546576109,eXtatus,20.574516324808624,6.535192524616303
2307704,FlipSid3,0.604,27.552992642372935,0.8302263446195653,Vega Squadron,24.903765825368477,2.7689693652584655
2307712,Heroic,0.587,27.535254039085114,1.0721426875068396,Epsilon,25.934329159702827,1.0967339432670555
2307711,Tricked,0.543,28.402595800845084,2.5485465713000925,GODSENT,26.793690987455925,0.9419326792026633
2307710,FlipSid3,0.662,27.605280026002347,0.83151805587303,BIG,23.076658180493663,3.9058511851302287
2307715,Natus Vincere,0.403,26.919536203306848,0.8162265198726617,Tricked,27.43845870749732,2.4102527359501655
2307714,G2,0.478,27.36738532411816,0.811569046539112,FlipSid3,27.508415015259466,0.8304234846361755
2307713,fnatic,0.631,28.452372338926327,0.8110760303710818,mousesports,26.306185212551743,0.8106093025397394
2307718,Immortals,0.564,26.4385251993838,0.8935553838496302,CLG,25.297236198561503,0.8459787253194796
2307723,fnatic,0.572,28.528381919931274,0.8108579579207881,G2,27.29128427507567,0.8113402755960514
2307717,Liquid,0.493,24.864260581065693,0.8108191304317093,Misfits,19.508330346363987,6.3227124549448
2307721,Epsilon,0.397,26.128323011136423,1.0873001986812354,FlipSid3,27.3967194226632,0.8291050353676294
2307722,mousesports,0.468,26.399904716231458,0.8099905997396493,GODSENT,26.66748882894854,0.9379610778919946
2307724,Immortals,0.603,26.524084123386057,0.8916658618022435,Liquid,24.793682018751237,0.810771948212285
2307726,Liquid,0.729,24.828488278217492,0.8133035776860786,Misfits,17.413358078978536,5.451670715820385
2307719,Natus Vincere,0.459,27.015719232664768,0.8154812554365054,Heroic,27.370021878611535,1.0641200488574325
2307729,mousesports,0.518,26.484269749449602,0.8096273240024086,Epsilon,25.977011363473547,1.0793214793775816
2307730,G2,0.553,27.370586440797396,0.8110294604855552,Envy,26.41947425021039,0.8102993716405477
2307731,Heroic,0.558,27.503299016610292,1.0572846189927387,mousesports,26.406776081145445,0.809438473274521
2307734,Immortals,0.611,26.607743013212566,0.8898709321136731,Liquid,24.758765918917724,0.8132420535923183
2307732,Heroic,0.509,27.649230315346678,1.0501917167290933,G2,27.284346328721362,0.8105970079792855
2307708,BIG,0.343,25.36570263575896,3.464628658827907,Epsilon,25.801256206148537,1.0736231358062946
