"ID","Date","Event","Team 1","Team 2","Team 1 Odds","Team 2 Odds","Team 1 Score","Team 2 Score","Outcome","Team 1 Entries","Team 2 Entries","Team 1 Clutches","Team 2 Clutches","Team 1 Kills mean","Team 2 Kills mean","Team 1 Kills sd","Team 2 Kills sd","Team 1 Assists mean","Team 2 Assists mean","Team 1 Assists sd","Team 2 Assists sd","Team 1 HS mean","Team 2 HS mean","Team 1 HS sd","Team 2 HS sd","Team 1 Flashes mean","Team 2 Flashes mean","Team 1 Flashes sd","Team 2 Flashes sd","Team 1 Deaths mean","Team 2 Deaths mean","Team 1 Deaths sd","Team 2 Deaths sd","Team 1 KAST mean","Team 2 KAST mean","Team 1 KAST sd","Team 2 KAST sd","Team 1 K/D Diff mean","Team 2 K/D Diff mean","Team 1 K/D Diff sd","Team 2 K/D Diff sd","Team 1 ADR mean","Team 2 ADR mean","Team 1 ADR sd","Team 2 ADR sd","Team 1 FK Diff mean","Team 2 FK Diff mean","Team 1 FK Diff sd","Team 2 FK Diff sd","Team 1 Rating mean","Team 2 Rating mean","Team 1 Rating sd","Team 2 Rating sd","Team 1 KDA mean","Team 2 KDA mean","Team 1 KDA sd","Team 2 KDA sd","Team 1 HSpc mean","Team 2 HSpc mean","Team 1 HSpc sd","Team 2 HSpc sd"
2301904,2016-04-06,"ESL Pro League Season 3","Renegades","NRG",NA,NA,2,16,2,8,10,1,1,7.4,17,2.793,8.972,1.4,3.8,1.517,1.483,4,8.2,2.55,6.76,NA,NA,NA,NA,17.2,7.6,0.837,3.209,0.5,0.878,0.142,0.061,-9.8,9.4,2.28,10.139,51.36,95.92,19.045,33.023,-0.4,0.4,1.14,2.074,0.536,1.58,0.163,0.556,0.507,3.13,0.199,1.621,0.515,0.444,0.25,0.189
2301905,2016-04-06,"ESL Pro League Season 3","NRG","Renegades",NA,NA,16,13,1,17,11,2,2,21.4,19.6,4.159,3.362,3,4.4,1.414,1.949,8.4,9,3.435,3,NA,NA,NA,NA,19.8,21.4,2.683,2.966,0.69,0.704,0.073,0.087,1.6,-1.8,6.107,5.357,78.04,74.72,10.224,7.808,1,-1.2,2.915,1.643,1.13,1.014,0.199,0.067,1.263,1.141,0.327,0.19,0.391,0.465,0.125,0.145
2301935,2016-04-06,"ECS Season 1 Qualifier","AGG","HellRaisers",NA,NA,0,2,2,14,12.5,1,1.5,15.6,20,5.692,6.078,2.9,4.2,1.005,1.897,7.9,7.7,3.708,4.19,NA,NA,NA,NA,20.1,15.7,2.288,3.462,0.641,0.755,0.131,0.069,-4.5,4.3,6.445,8.634,67.59,80.2,15.086,15.249,0.3,-0.4,2.826,3.197,0.888,1.233,0.298,0.3,0.941,1.64,0.358,0.647,0.501,0.386,0.161,0.162
2301891,2016-04-06,"Global Offensive Champions League Season 3","Dignitas","XPC",NA,NA,2,0,1,12,15,3,2.5,22.1,16.3,11.609,4.786,4.8,2.6,2.682,1.354,10.1,8.6,6.082,4.81,NA,NA,NA,NA,16.5,22.1,1.707,1.152,0.784,0.58,0.105,0.075,5.6,-5.8,11.536,4.845,86.84,68.56,32.523,13.989,-0.6,0.6,3.199,1.669,1.319,0.83,0.522,0.166,1.738,0.833,0.711,0.189,0.493,0.513,0.227,0.189
2301930,2016-04-06,"CEVO Gfinity Professional Season 9","CSGL","HellRaisers",NA,NA,0,2,2,9.5,12,2,3,12.9,18.2,0.822,3.186,2.4,2.8,1.175,1.633,5.9,9.2,1.152,2.933,NA,NA,NA,NA,18.2,13,0.801,1.614,0.611,0.801,0.088,0.077,-5.3,5.2,1.24,3.389,70.27,88.41,10.747,18.703,-0.5,0.5,1.703,2.109,0.826,1.359,0.097,0.216,0.842,1.64,0.118,0.434,0.459,0.502,0.097,0.117
2301936,2016-04-06,"ECS Season 1 Qualifier","SK","Gambit",NA,NA,1,1,0,10.5,12,1,1.5,15.8,14.6,2.948,5.54,2.9,2.2,1.168,1.393,6.9,5.9,2.73,4.197,NA,NA,NA,NA,14.6,15.8,2.283,1.568,0.74,0.639,0.089,0.1,1.2,-1.2,4.141,6.059,79.27,71.91,9.187,21.354,-0.3,0.3,2.178,2.858,1.085,1.008,0.192,0.357,1.487,1.171,0.491,0.471,0.426,0.383,0.151,0.201
2301937,2016-04-07,"ECS Season 1 Qualifier","AGG","SK",NA,NA,1,1,0,12.5,11,0,1.5,15.8,14.5,5.075,5.62,3.7,3.3,2.156,1.58,6.1,6.8,3.804,4.386,NA,NA,NA,NA,14.5,15.9,1.935,2.077,0.724,0.631,0.082,0.084,1.3,-1.4,5.925,6.034,75.78,68.78,20.968,18.895,0.3,-0.3,2.491,2.59,1.1,0.948,0.254,0.222,1.587,1.219,0.561,0.386,0.388,0.466,0.227,0.163
2301931,2016-04-07,"CEVO Gfinity Professional Season 9","Dignitas","HellRaisers",NA,NA,2,0,1,16,14.5,1.5,1,21.8,19.6,4.045,5.244,3.3,4.6,2.539,1.752,13.2,8.9,4.663,2.824,NA,NA,NA,NA,19.6,21.8,2.407,3.098,0.713,0.656,0.075,0.076,2.2,-2.2,5.855,6.813,75.31,72,13.115,15.744,0.3,-0.3,1.699,2.406,1.146,0.96,0.209,0.225,1.342,1.12,0.395,0.288,0.577,0.481,0.138,0.16
2301951,2016-04-07,"Operation: Kinguin #2","Gambit","E-frag.net",NA,NA,0,2,2,5,15.5,0.5,1.5,10.1,17.3,3.423,4.962,1.8,3.1,1.07,2.645,4.4,8,2.73,3.662,NA,NA,NA,NA,17.3,10.1,1.893,2.275,0.513,0.853,0.105,0.081,-7.2,7.2,4.272,6.337,60.78,88.97,11.758,21.372,-2.1,2.1,1.76,2.437,0.645,1.507,0.18,0.304,0.698,2.169,0.236,0.714,0.407,0.45,0.16,0.125
2301898,2016-04-07,"ESL Pro League Season 3","FlipSid3","NIP",NA,NA,4,16,2,11,9,0,1,10,16.6,6.164,5.595,2.2,3.8,1.095,2.168,2.2,8,1.095,2,NA,NA,NA,NA,16.6,10,1.817,2.236,0.5,0.8,0.117,0.035,-6.6,6.6,7.797,6.269,64.7,85.74,32.224,22.05,0.4,-0.4,2.302,2.191,0.682,1.398,0.491,0.347,0.778,2.135,0.546,0.859,0.263,0.514,0.135,0.164
2301899,2016-04-07,"ESL Pro League Season 3","NIP","FlipSid3",NA,NA,16,8,1,15,9,1,2,19.6,14.6,5.505,4.099,4.4,2.8,2.302,2.049,9.4,6.2,2.702,2.95,NA,NA,NA,NA,14.6,19.8,1.14,1.095,0.775,0.617,0.14,0.104,5,-5.2,5.788,4.147,85.76,69.18,25.061,10.667,1.2,-1.2,1.643,2.588,1.302,0.844,0.334,0.236,1.652,0.88,0.515,0.175,0.495,0.416,0.166,0.148
2301941,2016-04-07,"ECS Season 1 Qualifier","SK","HellRaisers",NA,NA,0,2,2,15,14,1.5,1,19.4,20.7,5.132,4.701,5.2,4.1,1.631,2.302,8.5,9,3.789,4.828,NA,NA,NA,NA,20.8,19.4,2.093,2.387,0.687,0.711,0.063,0.053,-1.4,1.3,5.582,5.979,74.2,79.82,11.572,14.015,0.2,-0.2,3.454,2.61,1.013,1.105,0.192,0.23,1.199,1.303,0.267,0.284,0.439,0.43,0.17,0.181
2301900,2016-04-07,"ESL Pro League Season 3","SK","Virtus.pro",NA,NA,16,11,1,11,16,1,3,20,17.4,3.937,2.302,4.2,2.2,1.924,1.643,10.8,8,2.49,1.225,NA,NA,NA,NA,17.4,20,1.673,1.732,0.726,0.66,0.042,0.048,2.6,-2.6,3.912,3.209,80.22,73.54,14.732,8.372,-1,1,2.121,1,1.134,0.984,0.138,0.137,1.398,0.99,0.253,0.158,0.555,0.464,0.162,0.082
2301927,2016-04-07,"Global Offensive Champions League Season 3","GODSENT","Space Soldiers",NA,NA,0,2,2,11.5,12,2.5,1,13.5,19.2,3.476,6.368,3.1,4.3,2.235,2.129,4.5,8.3,2.378,4.103,NA,NA,NA,NA,19.2,13.5,1.222,2.494,0.595,0.824,0.112,0.083,-5.7,5.7,3.281,8.363,67.43,85.64,14.113,16.239,-0.1,0.1,1.828,2.145,0.783,1.364,0.152,0.339,0.873,1.852,0.226,0.724,0.327,0.423,0.148,0.141
2301942,2016-04-07,"ECS Season 1 Qualifier","Gambit","HellRaisers",NA,NA,2,0,1,16,11.5,2,1.5,19.1,18.8,2.109,4.726,4.4,3.4,2.135,1.669,7.4,9.1,2.468,3.402,NA,NA,NA,NA,18.8,19.1,1.408,2.747,0.712,0.665,0.025,0.09,0.3,-0.3,2.616,5.093,79.15,76.01,10.753,14.502,0.9,-0.9,2.363,1.708,1.13,1.007,0.113,0.181,1.288,1.172,0.195,0.264,0.387,0.491,0.117,0.166
