"ID","Odds","Entries","Clutches","Kills.mean","Kills.sd","Assists.mean","Assists.sd","HS.mean","Flashes.sd","Deaths.mean","Deaths.sd","KAST.mean","KAST.sd","K.D.Diff.mean","K.D.Diff.sd","ADR.mean","ADR.sd","FK.Diff.mean","FK.Diff.sd","Rating.mean","Rating.sd","KDA.mean","KDA.sd","HSpc.mean","HSpc.sd","Outcome","Team.1","Team.2"
2313969,-0.477142857142857,-1.86657142857143,-0.0905714285714285,-0.802857142857142,-0.924428571428572,-1.15814285714286,-1.09071428571429,-0.595142857142857,-0.233428571428572,-1.60942857142857,-0.238142857142857,-0.00114285714285711,0.001,0.806571428571428,-0.864,1.28685714285714,-3.59328571428571,-0.421857142857143,-0.506428571428572,0.0417142857142856,-0.0161428571428571,0.001857142857143,0.0734285714285715,-0.00971428571428568,0.00371428571428573,"1","mousesports","BIG"
2313971,-0.928571428571428,-0.357142857142858,0.404714285714286,1.22857142857143,-1.51942857142857,0.4,-0.912,0.052428571428571,-0.224285714285714,-2.08085714285714,0.248714285714286,0.0658571428571428,-0.0277142857142857,3.30942857142857,-1.49542857142857,7.73342857142858,-3.72785714285715,0.00485714285714287,-0.747,0.177428571428571,-0.0662857142857143,0.264142857142857,-0.073,-0.0444285714285714,-0.0248571428571429,"2","Astralis","BIG"
2313973,-0.137142857142857,-0.190428571428571,0.166714285714286,-1.73328571428571,1.58557142857143,-1.91428571428571,-0.507285714285714,0.828571428571429,-0.523142857142857,-7.38571428571428,-0.247,0.0908571428571429,0.014,5.65242857142857,1.52085714285714,12.2867142857143,9.66857142857143,1.29528571428571,0.353142857142857,0.328142857142857,0.158285714285714,0.645714285714285,0.467714285714286,0.0705714285714286,0.00528571428571428,"2","FaZe","North"
2313980,-0.36,-1.02385714285714,0.261857142857143,-0.228571428571428,-0.085571428571428,0.309571428571428,-0.662571428571429,0.0428571428571427,-0.102857142857143,-1.47614285714285,-0.139714285714286,0.0252857142857142,-0.0154285714285714,1.24757142857143,-0.188285714285715,4.9867142857143,-3.56014285714286,-0.0332857142857143,-0.122571428571429,0.0735714285714284,-0.0321428571428571,0.234714285714286,-0.00714285714285712,0.0188571428571429,0.00628571428571428,"1","Astralis","North"
2313983,-0.844285714285714,0.952428571428571,0.0238571428571428,-0.276142857142858,1.778,-0.742857142857142,-0.353,0.128571428571428,-0.102285714285714,-4.88571428571429,-0.0902857142857143,0.0864285714285714,-0.00642857142857142,4.60957142857143,2.41028571428572,8.50385714285714,8.98242857142857,1.10957142857143,0.312571428571429,0.301857142857143,0.146428571428571,0.614714285714286,0.462285714285714,0.000285714285714278,0.0242857142857143,"2","FaZe","HellRaisers"
2313990,0.0614285714285714,1.738,0.285714285714286,3.45714285714286,0.252428571428572,1.93342857142857,0.604714285714286,1.09042857142857,0.426571428571428,4.44285714285714,0.153285714285714,-0.0232857142857142,-0.0102857142857143,-0.985714285714286,0.494,-2.798,-5.40571428571429,-0.414285714285714,-0.279857142857143,-0.0648571428571429,-0.0737142857142857,-0.289285714285714,-0.272142857142857,-0.0242857142857143,0.022,"1","Astralis","FaZe"
2313991,-0.825714285714286,0.214285714285715,0.333285714285714,0.095285714285712,1.088,1.22385714285714,0.318428571428571,-0.638142857142856,0.682428571428571,2.62385714285714,-0.588428571428571,-0.039,-0.00614285714285714,-2.52857142857143,2.31785714285714,-1.24142857142857,-1.46928571428571,-0.157142857142857,-0.213,-0.0660000000000001,0.0307142857142857,-0.118428571428571,-0.00185714285714289,-0.0294285714285714,0.0204285714285714,"2","fnatic","HellRaisers"
2313994,-0.537142857142857,-0.999857142857143,-0.119142857142857,0.423857142857143,0.625714285714285,0.609571428571429,0.173714285714286,0.776285714285714,0.363857142857143,1.90485714285714,-0.41,-0.0154285714285715,-0.00528571428571428,-1.481,0.055714285714286,-2.34571428571429,-1.133,-0.666571428571429,0.528571428571429,-0.0362857142857144,0.00285714285714284,-0.0371428571428571,0.001,0.0614285714285714,0.015,"2","mousesports","Heroic"
2313996,-0.14,1.52371428571429,1.09514285714286,1.63342857142857,1.17957142857143,0.566714285714286,0.110571428571429,1.24757142857143,-0.117,1.5,-0.468,0.0162857142857142,-0.0212857142857143,0.133285714285714,0.907571428571428,1.22328571428572,3.80042857142857,0.238,0.701142857142857,0.0294285714285716,0.066,-0.110285714285714,-0.0627142857142857,0.0328571428571429,-0.0147142857142857,"2","Natus Vincere","mousesports"
2313997,0.0600000000000001,0.785714285714286,-0.381,-0.0761428571428553,0.569142857142857,0.681000000000001,0.0287142857142859,-0.709571428571429,0.303571428571428,4.72385714285714,-0.0575714285714286,-0.0670000000000001,-0.00228571428571429,-4.8,0.821857142857143,-5.54571428571428,-1.72557142857143,-0.285714285714286,-0.0331428571428569,-0.179285714285714,-0.014,-0.432142857142857,-0.161,-0.0291428571428571,0.0197142857142857,"1","fnatic","Astralis"
