,ID,Odds,Entries,Clutches,Kills.mean,Kills.sd,Assists.mean,Assists.sd,HS.mean,Flashes.sd,Deaths.mean,Deaths.sd,KAST.mean,KAST.sd,K.D.Diff.mean,K.D.Diff.sd,ADR.mean,ADR.sd,FK.Diff.mean,FK.Diff.sd,Rating.mean,Rating.sd,KDA.mean,KDA.sd,HSpc.mean,HSpc.sd,Outcome,Team.1,Team.2
0,2313969,-0.4771428571428571,-1.8665714285714299,-0.0905714285714285,-0.802857142857142,-0.924428571428572,-1.1581428571428602,-1.09071428571429,-0.5951428571428571,-0.23342857142857198,-1.60942857142857,-0.238142857142857,-0.00114285714285711,0.001,0.8065714285714279,-0.8640000000000001,1.2868571428571398,-3.59328571428571,-0.42185714285714293,-0.506428571428572,0.0417142857142856,-0.0161428571428571,0.001857142857143,0.0734285714285715,-0.00971428571428568,0.00371428571428573,0,69,4
1,2313971,-0.9285714285714279,-0.357142857142858,0.404714285714286,1.22857142857143,-1.5194285714285702,0.4,-0.912,0.052428571428571,-0.224285714285714,-2.08085714285714,0.248714285714286,0.0658571428571428,-0.0277142857142857,3.3094285714285694,-1.4954285714285702,7.73342857142858,-3.72785714285715,0.004857142857142871,-0.747,0.17742857142857102,-0.0662857142857143,0.26414285714285696,-0.073,-0.0444285714285714,-0.0248571428571429,1,4,4
2,2313973,-0.13714285714285698,-0.190428571428571,0.166714285714286,-1.7332857142857099,1.5855714285714297,-1.91428571428571,-0.507285714285714,0.8285714285714291,-0.5231428571428571,-7.385714285714281,-0.247,0.0908571428571429,0.013999999999999999,5.652428571428571,1.52085714285714,12.2867142857143,9.668571428571429,1.29528571428571,0.3531428571428571,0.32814285714285696,0.158285714285714,0.645714285714285,0.467714285714286,0.0705714285714286,0.00528571428571428,1,18,47
3,2313980,-0.36,-1.02385714285714,0.261857142857143,-0.22857142857142804,-0.08557142857142798,0.309571428571428,-0.6625714285714289,0.0428571428571427,-0.10285714285714301,-1.47614285714285,-0.139714285714286,0.0252857142857142,-0.0154285714285714,1.24757142857143,-0.188285714285715,4.986714285714299,-3.5601428571428597,-0.0332857142857143,-0.122571428571429,0.0735714285714284,-0.0321428571428571,0.23471428571428601,-0.00714285714285712,0.0188571428571429,0.00628571428571428,0,4,47
4,2313983,-0.8442857142857142,0.9524285714285708,0.0238571428571428,-0.276142857142858,1.778,-0.7428571428571421,-0.353,0.128571428571428,-0.10228571428571401,-4.885714285714291,-0.0902857142857143,0.0864285714285714,-0.006428571428571421,4.60957142857143,2.4102857142857204,8.50385714285714,8.98242857142857,1.10957142857143,0.31257142857142894,0.30185714285714305,0.146428571428571,0.614714285714286,0.46228571428571397,0.000285714285714278,0.0242857142857143,1,18,29
5,2313990,0.0614285714285714,1.7380000000000002,0.28571428571428603,3.4571428571428595,0.252428571428572,1.9334285714285702,0.6047142857142861,1.09042857142857,0.426571428571428,4.4428571428571395,0.153285714285714,-0.0232857142857142,-0.0102857142857143,-0.9857142857142859,0.494,-2.798,-5.40571428571429,-0.414285714285714,-0.279857142857143,-0.0648571428571429,-0.0737142857142857,-0.289285714285714,-0.27214285714285696,-0.0242857142857143,0.022000000000000002,0,4,17
6,2313991,-0.8257142857142858,0.214285714285715,0.333285714285714,0.09528571428571198,1.088,1.2238571428571399,0.31842857142857106,-0.638142857142856,0.682428571428571,2.62385714285714,-0.5884285714285711,-0.039,-0.00614285714285714,-2.5285714285714302,2.31785714285714,-1.24142857142857,-1.4692857142857099,-0.157142857142857,-0.213,-0.0660000000000001,0.0307142857142857,-0.11842857142857101,-0.0018571428571428899,-0.0294285714285714,0.0204285714285714,1,67,29
7,2313994,-0.5371428571428571,-0.999857142857143,-0.119142857142857,0.42385714285714293,0.625714285714285,0.609571428571429,0.17371428571428602,0.7762857142857141,0.36385714285714293,1.90485714285714,-0.41,-0.0154285714285715,-0.00528571428571428,-1.4809999999999999,0.055714285714286,-2.34571428571429,-1.133,-0.6665714285714289,0.5285714285714289,-0.0362857142857144,0.00285714285714284,-0.0371428571428571,0.001,0.0614285714285714,0.015,1,69,31
8,2313996,-0.14,1.5237142857142902,1.09514285714286,1.6334285714285701,1.17957142857143,0.5667142857142861,0.11057142857142899,1.24757142857143,-0.11699999999999999,1.5,-0.46799999999999997,0.0162857142857142,-0.0212857142857143,0.133285714285714,0.9075714285714279,1.22328571428572,3.8004285714285695,0.23800000000000002,0.7011428571428571,0.0294285714285716,0.066,-0.11028571428571401,-0.0627142857142857,0.0328571428571429,-0.0147142857142857,1,46,78
9,2313997,0.0600000000000001,0.7857142857142858,-0.381,-0.0761428571428553,0.5691428571428571,0.681000000000001,0.0287142857142859,-0.7095714285714291,0.303571428571428,4.72385714285714,-0.0575714285714286,-0.0670000000000001,-0.00228571428571429,-4.8,0.821857142857143,-5.545714285714281,-1.7255714285714299,-0.28571428571428603,-0.0331428571428569,-0.179285714285714,-0.013999999999999999,-0.4321428571428571,-0.161,-0.0291428571428571,0.0197142857142857,0,67,3
10,2313998,-0.0342857142857143,0.6904285714285711,-0.452428571428572,2.42385714285714,0.9867142857142858,1.6952857142857098,0.44442857142857106,1.10957142857143,0.748857142857143,-1.17614285714286,0.0657142857142854,0.0557142857142857,-0.0285714285714286,3.6,0.5081428571428571,4.93957142857143,1.55128571428572,0.128571428571429,-0.0495714285714284,0.157857142857143,0.003,0.30142857142857105,-0.0765714285714286,-0.01,0.00257142857142859,1,4,76
