"ID","Team.1","Team.2","Entries","Clutches","Kills.mean","Kills.sd","Kills.max","Kills.min","Assists.mean","Assists.sd","Assists.max","Assists.min","HS.mean","HS.sd","HS.max","HS.min","Deaths.mean","Deaths.sd","Deaths.max","Deaths.min","KAST.mean","KAST.sd","KAST.max","KAST.min","K.D.Diff.mean","K.D.Diff.sd","K.D.Diff.max","K.D.Diff.min","ADR.mean","ADR.sd","ADR.max","ADR.min","FK.Diff.mean","FK.Diff.sd","FK.Diff.max","FK.Diff.min","Rating.mean","Rating.sd","Rating.max","Rating.min","KDA.mean","KDA.sd","KDA.max","KDA.min","HSpc.mean","HSpc.sd","HSpc.max","HSpc.min","Win","Team.1.Odds","Team.2.Odds","Outcome"
2328792,"FaZe","MIBR",0.31153995157385,0.481609310725394,0.350329368818175,0.325001352009086,0.288563106796116,0.33200053759828,0.412053129532009,0.283327296873114,0.352942109562748,0.62340746036204,0.408476123595506,0.382587083041108,0.378202142524453,0.43324071864453,0.468325727266425,0.314811865419072,0.388126881785834,0.510767123287671,0.386545222115692,0.434426229508197,0.405370006548789,0.442771866078381,0.384961468619285,0.411288598393452,0.357230994612027,0.454219135802469,0.390833482517061,0.246062641606749,0.250568356750651,0.426571514876907,0.371490339882874,0.0635969976905311,0.144809609355736,0.623312358000166,0.393332129746645,0.327981202271392,0.331030339441274,0.449675324675325,0.42404913772738,0.500185099490976,0.48328149878722,0.437397001487198,0.615461646304827,0.620388349514563,0.664944013781223,0.477670822155594,0.0476190476190476,0.581395348837209,0.5,"1"
2328793,"LDLC","Renegades",0.495559322033898,0.598675629577606,0.472666921594059,0.602379535990482,0.526964401294498,0.447195368974819,0.155003337860546,0.243776409513461,0.14011405185473,0.306380371230883,0.546109550561798,0.502393168703013,0.587796925943177,0.626427573040603,0.367452558941921,0.50426040215011,0.341782271133568,0.388782778864971,0.471077021412592,0.38301043219076,0.491159135559922,0.521022579807942,0.55290046888128,0.67208545859931,0.644818991623078,0.568416666666667,0.574610546815527,0.700785322633133,0.585278999447445,0.442706539797614,0.574913797821685,0.496449191685912,0.495109608181573,0.522202528935254,0.520551242703255,0.667710984922655,0.566236106939021,0.506298701298701,0.511103236475313,0.61749190189727,0.589768009404622,0.470195747417501,0.569397156018426,0.485436893203884,0.62001148435257,0.626479406659303,0.0476190476190477,0.476190476190476,0.602409638554217,"1"
2328794,"Luminosity","AVANGAR",0.312353510895884,0.275950637102438,0.320439789172419,0.45437239738251,0.347624595469256,0.286794282258297,0.401694251973942,0.409247857056622,0.395897940245711,0.47658743329844,0.235245786516854,0.354385835394288,0.292040055891942,0.333097535199264,0.593660659301221,0.342504479394784,0.547789213918589,0.645142857142857,0.294023649728348,0.548435171385991,0.364767518009168,0.34596418375292,0.269572104424709,0.466303717052014,0.311347189994887,0.312759259259259,0.306401069438194,0.48442249006834,0.353884909542073,0.306198459447213,0.333397186798752,0.496420323325635,0.391383986755433,0.396314844112434,0.253655894565806,0.428039945173292,0.277610894162411,0.287272727272727,0.320015355539806,0.450948634891254,0.403431496555111,0.338799790988384,0.221710394552373,0.383495145631068,0.297588285960379,0.362474356951239,-0.476190476190476,0.421940928270042,0.65359477124183,"1"
2328797,"Liquid","mousesports",0.430992736077482,0.642139058894352,0.538765389270185,0.472413606619436,0.519954692556634,0.515998348805284,0.645703367786193,0.606446939514668,0.598811893752528,0.582978017208364,0.445926966292135,0.468458159536377,0.510945505356311,0.461647291446494,0.497824216248843,0.462233724865618,0.475020311339158,0.529682974559687,0.521252796420582,0.616244411326379,0.598559266535691,0.504801453412925,0.507126573854072,0.525045050548242,0.499385495732882,0.481481481481482,0.533916014301561,0.443747198565666,0.438066954973912,0.492221718773599,0.386541513874446,0.364693995381062,0.268096798055585,0.369550477595251,0.485406511403984,0.476796553749755,0.460849103834986,0.460714285714286,0.594141270966218,0.612216566404442,0.603815419413402,0.489850878250734,0.384538353695173,0.538834951456311,0.50488084984209,0.424964494240177,0.0952380952380953,0.666666666666667,0.4,"1"
2328798,"MIBR","NRG",0.552866828087167,0.501675529246513,0.634292201981338,0.545854740143854,0.672058252427185,0.703197749767201,0.566676641882093,0.594132560666425,0.528754867825163,0.391490285189062,0.557816011235955,0.470537570903006,0.536567303213787,0.650572733781066,0.726348802401315,0.647103324706351,0.781323995186104,0.714285714285714,0.402844359220198,0.408345752608048,0.410281597904388,0.424733973527122,0.411365778592874,0.55509147551999,0.474807783065246,0.469138888888889,0.460015693570488,0.533457568631303,0.517891768563092,0.50223984292403,0.403412511630453,0.816859122401848,0.555766905021898,0.187160241236157,0.344707227538063,0.434305854709223,0.388555121658156,0.432012987012987,0.318597921096149,0.481536325775104,0.41688367732623,0.321596527191607,0.439014620468656,0.385113268608414,0.447602641401091,0.570459207827048,-0.238095238095238,0.636942675159236,0.444444444444444,"2"
2328799,"North","LDLC",0.447941888619855,0.377927159626768,0.431802323518629,0.35070034070629,0.364618122977346,0.428000230399263,0.67102506848369,0.58585053724496,0.61468239175781,0.593624735108638,0.480105337078652,0.512753312908346,0.429436422915696,0.428970783758906,0.379691597437184,0.40435994425642,0.319337698279944,0.422704500978474,0.532278683285395,0.608792846497765,0.586280288146693,0.495977160654036,0.512646544221497,0.380600775785712,0.434248043418413,0.542179012345679,0.514230454561425,0.515295063949454,0.499762462559818,0.464885968886875,0.540241366099283,0.387269053117783,0.48530534127068,0.605481342262719,0.485887946079316,0.45995692187194,0.488234705116652,0.506233766233766,0.528673517599811,0.528875520592318,0.534367048109403,0.496121226737409,0.567194071700381,0.49546925566343,0.553402239448751,0.547893324917153,0.0952380952380952,0.694444444444444,0.381679389312977,"2"
2328800,"BIG","mousesports",0.726392251815981,0.775920537774656,0.729696807231528,0.733178302958196,0.790721682847896,0.647201128956387,0.889712483598444,0.745889170590366,0.863185362023429,0.804248474481068,0.566011235955056,0.726895771043274,0.67085700978109,0.43607881907749,0.629961786141053,0.40262791160661,0.586530649484939,0.659491193737769,0.5557686161713,0.4575260804769,0.606090373280943,0.573579029327796,0.555408998786389,0.612443114138236,0.613680831399693,0.564302469135802,0.635817144807486,0.582197920951966,0.602100320318729,0.568041081407642,0.600911280170762,0.289030023094688,0.520541993964799,0.674866475549264,0.53710055966781,0.538672410417075,0.56924001201562,0.551818181818182,0.585429955114576,0.527950023137436,0.570304013333135,0.612805980947787,0.313038253554977,0.589967637540453,0.447746195808212,0.305033927726053,0.238095238095238,0.444444444444444,0.636942675159236,"2"
2328802,"Astralis","FaZe",0.742537530266344,0.642139058894351,0.708409055967075,0.655356659996755,0.687699029126214,0.567194984976048,0.62421445178518,0.583604974043221,0.592205134712848,0.504251027650829,0.661748595505618,0.484970408376706,0.595561248253377,0.751423311628541,0.527595952675174,0.498029066295043,0.519913801717883,0.555123287671233,0.61185682326622,0.388971684053651,0.624590700720367,0.635219309628861,0.614737387334484,0.611251947099966,0.582547587210446,0.529320987654321,0.716550359128455,0.566869086287248,0.611632402145789,0.617655943210995,0.662935799901483,0.407967667436489,0.561637723531415,0.617376616270356,0.618824095805501,0.504993146661445,0.587063182136778,0.609090909090909,0.612390739428301,0.519713095788987,0.569976637252422,0.608384581373849,0.438614059683557,0.165695792880259,0.367068619006604,0.703487454631529,0.142857142857143,0.75187969924812,0.307692307692308,"2"
2328803,"NRG","LDLC",0.509278450363196,0.354509882612622,0.422869352339879,0.494359418095289,0.424488673139159,0.331203740148032,0.534437512948597,0.519739224918508,0.553873242229325,0.538310312252662,0.378511235955056,0.532292397229092,0.3766464834653,0.383510039886817,0.240074388557865,0.418096754927334,0.199854887972646,0.302681017612525,0.70198146372643,0.523845007451565,0.741650294695482,0.67324162989878,0.608910250039902,0.516829052258636,0.58131857867621,0.578185185185185,0.615691562781811,0.426210987148708,0.516719373472063,0.605348134722852,0.661567511356795,0.400230946882217,0.592929186187138,0.698668918838545,0.637720406812301,0.551987468180928,0.636126965054571,0.619415584415584,0.726257973068745,0.619898195279963,0.676537551524531,0.695285180272519,0.367915081113559,0.509708737864078,0.481912144702843,0.470727473567934,0.142857142857143,0.636942675159236,0.444444444444444,"2"
2328804,"fnatic","Liquid",0.401937046004842,0.454861041436741,0.462023045961832,0.537742685630847,0.510245954692557,0.476000076799754,0.436223843834166,0.295086321381142,0.400529809728512,0.574463196057906,0.43188202247191,0.523051936067329,0.464368886818817,0.438916919510449,0.620447065444802,0.372725462870794,0.586534994156417,0.67319373776908,0.41115372323426,0.209388971684054,0.405206286836935,0.536984168180638,0.357960893434156,0.504573775999511,0.408438864199473,0.452675925925926,0.472157297092005,0.443713427850402,0.45770916038161,0.591199214620148,0.386541513874446,0.537240184757506,0.43247971632205,0.357655203587615,0.361015827164952,0.44997062854905,0.424652047661961,0.48038961038961,0.342605716985589,0.448496066635817,0.432999508935879,0.452188592789099,0.367714800721009,0.48284789644013,0.446310651737008,0.432696859712798,-0.190476190476191,0.307692307692308,0.75187969924812,"1"
