"ID","Entries","Clutches","Kills.mean","Kills.sd","Assists.mean","Assists.sd","HS.mean","HS.sd","Deaths.mean","Deaths.sd","KAST.mean","KAST.sd","K.D.Diff.mean","K.D.Diff.sd","ADR.mean","ADR.sd","FK.Diff.mean","FK.Diff.sd","Rating.mean","Rating.sd","KDA.mean","KDA.sd","HSpc.mean","HSpc.sd","Outcome"
2309096,0.904714285714284,0.309428571428571,1.68571428571428,-0.748428571428572,0.809428571428572,0.268142857142857,0.790428571428571,0.401714285714285,-1.76657142857143,-0.138,0.073,-0.00585714285714287,3.45242857142857,-1.18085714285714,4.98471428571429,-2.07828571428572,0.271428571428571,0.139,0.121285714285714,-0.0452857142857143,0.223714285714286,0.0295714285714285,0.00642857142857139,0.0444285714285714,"1"
2309109,2.69042857142857,-0.595285714285714,3.06671428571429,-0.421285714285714,1.46185714285714,-0.0597142857142856,1.42857142857143,0.263285714285714,-1.219,0.221714285714286,0.0884285714285714,-0.001,4.28571428571429,-0.232285714285714,7.76471428571429,-3.43271428571428,0.914285714285714,0.172,0.178428571428571,-0.00614285714285714,0.406285714285714,0.178428571428571,-0.0105714285714286,-0.00728571428571428,"1"
2309110,3.78571428571429,-0.262,4.619,0.862571428571429,0.757142857142857,-0.601142857142857,0.819000000000001,0.214857142857143,-1.20471428571429,0.456285714285714,0.100571428571429,0.00371428571428573,5.82371428571429,0.981142857142857,13.078,1.38,1.30957142857143,0.212714285714286,0.306714285714286,0.069,0.553,0.247,-0.0708571428571429,-0.0274285714285714,"1"
2309116,-0.428571428571429,0.285714285714286,-0.771428571428572,0.199285714285714,-0.142857142857142,-0.858142857142857,-0.257142857142858,-0.780428571428571,-0.600000000000001,-0.0574285714285714,0.0212857142857142,-0.00614285714285714,-0.171428571428571,-0.239571428571429,1.93142857142858,2.91471428571428,0.228571428571429,-0.0781428571428573,0.0102857142857145,0.0292857142857143,0.00271428571428567,-0.051,0.0127142857142857,-0.0278571428571429,"1"
2309119,-2.92857142857143,0.547571428571429,-1.30957142857143,-0.0902857142857139,-0.466714285714286,-0.303857142857143,-1.281,0.766428571428571,0.938142857142857,-0.00642857142857167,-0.0318571428571429,0.0184285714285714,-2.24757142857143,-0.187,-1.22,3.38842857142857,-0.971428571428572,0.400285714285714,-0.0982857142857144,0.0182857142857143,-0.155571428571429,-0.0238571428571429,-0.0381428571428571,0.0714285714285714,"1"
2309124,-0.523714285714286,0.714285714285714,-0.990571428571428,1.40857142857143,-0.2,-0.046,-1.02857142857143,1.04585714285714,0.114285714285714,-0.527142857142857,-0.0167142857142857,0.00600000000000001,-1.10471428571429,1.32785714285714,-1.47714285714285,6.10542857142857,-0.00942857142857143,0.172428571428572,-0.0635714285714286,0.0734285714285715,-0.0828571428571427,0.0655714285714286,-0.0458571428571429,0.0551428571428571,"1"
2309125,0.404714285714284,-0.452428571428571,0.638142857142856,0.263285714285714,1.87614285714286,0.432714285714286,0.257142857142858,-0.00099999999999989,-4.07614285714286,0.217142857142857,0.109571428571429,0.00628571428571428,4.71428571428571,0.752714285714285,6.57042857142858,2.58214285714286,0.5,-0.541,0.235857142857143,0.0277142857142857,0.589285714285714,0.281428571428571,-0.0112857142857142,-0.0332857142857143,"1"
2309126,-1.07142857142857,-0.857,-0.480999999999998,0.685142857142857,0.333285714285714,0.00499999999999989,-0.052428571428571,-0.537285714285714,-4.39042857142857,-0.253857142857143,0.0892857142857143,0.0212857142857143,3.90957142857143,0.0218571428571437,7.31614285714286,4.266,0.219142857142857,-0.133571428571428,0.200571428571429,0.0465714285714286,0.435285714285714,0.164285714285714,0.00357142857142856,-0.0172857142857143,"2"
2309127,-0.857142857142858,-0.0952857142857142,-1.381,-0.539,-0.142857142857143,-0.00528571428571434,-1,0.157714285714285,2.84757142857143,-0.0211428571428569,-0.0529999999999999,-0.00357142857142857,-4.22857142857143,-0.327571428571429,-9.25957142857142,-0.846857142857143,-0.723857142857143,-0.587428571428571,-0.220285714285714,-0.0452857142857143,-0.282714285714286,-0.0475714285714286,-0.0414285714285714,-0.0131428571428572,"2"
2309136,2,0.952285714285714,2.43328571428572,-0.436714285714286,0.585714285714286,0.073,0.795142857142856,0.551428571428572,-0.885714285714286,0.291857142857143,0.084,-0.0297142857142857,3.319,0.0721428571428575,6.62042857142858,-1.54414285714286,0.581,-0.791428571428571,0.193714285714286,-0.034,0.300428571428571,0.057,-0.0442857142857143,-0.0344285714285714,"1"
