ID,Team.1.Odds,Team.2.Odds,Outcome,Prob.Team.1,Prob.Team.2,prediction,TK1,TK2
2317012,3.249999999999997,1.3300000000000005,2,0.34,0.66,2,0.0,0.0
2313941,1.5300000000000002,2.370000000000001,1,0.66,0.34,1,0.0,0.0
2315613,2.749999999999997,1.4000000000000001,2,0.352,0.648,2,0.0,0.0
2337130,2.250000000000002,1.5699999999999992,2,0.402,0.598,2,0.0,0.0
2338370,1.5699999999999992,2.250000000000002,2,0.532,0.468,1,0.0,0.0
2330436,1.2000000000000004,4.330000000000002,1,0.7,0.3,1,0.0,0.01
2319944,1.22,4.0,1,0.656,0.344,1,0.0,0.01
2341132,1.4000000000000001,2.749999999999997,1,0.864,0.136,1,0.05,0.0
2313888,1.1600000000000006,4.500000000000004,1,0.494,0.506,2,0.0,0.04
2329650,3.249999999999997,1.3300000000000005,2,0.304,0.696,2,0.0,0.0
2323027,1.6599999999999995,2.1000000000000005,2,0.444,0.556,2,0.0,0.02
2337656,1.4000000000000001,2.749999999999997,1,0.632,0.368,1,0.0,0.0
2347023,1.6599999999999995,2.1000000000000005,2,0.468,0.532,2,0.0,0.01
2340851,1.5300000000000002,2.370000000000001,2,0.508,0.492,1,0.0,0.01
2317652,3.499999999999996,1.28,1,0.434,0.566,2,0.02,0.0
2333390,1.2000000000000004,4.330000000000002,1,0.702,0.298,1,0.0,0.01
2346336,3.7499999999999956,1.25,1,0.434,0.566,2,0.02,0.0
2346937,1.3300000000000005,3.249999999999997,1,0.908,0.092,1,0.06,0.0
2317276,1.3000000000000005,3.3999999999999946,2,0.562,0.438,1,0.0,0.02
2340293,3.249999999999997,1.3300000000000005,2,0.422,0.578,2,0.02,0.0
2314031,1.6100000000000008,2.1999999999999975,1,0.564,0.436,1,0.0,0.0
2343663,1.6599999999999995,2.1000000000000005,1,0.564,0.436,1,0.0,0.0
2324632,1.8300000000000003,1.8300000000000003,1,0.364,0.636,2,0.0,0.02
2314955,1.3000000000000005,3.3999999999999946,1,0.5,0.5,1,0.0,0.03
2337461,1.3599999999999994,3.0000000000000027,1,0.558,0.442,1,0.0,0.02
2316939,2.370000000000001,1.5300000000000002,1,0.472,0.528,2,0.01,0.0
2341136,1.9000000000000008,1.7999999999999985,1,0.548,0.452,1,0.0,0.0
2331584,1.6100000000000008,2.1999999999999975,2,0.518,0.482,1,0.0,0.01
2346587,2.250000000000002,1.5699999999999992,2,0.43,0.57,2,0.0,0.0
2342389,1.8300000000000003,1.8300000000000003,2,0.584,0.416,1,0.01,0.0
2337387,1.1600000000000006,4.500000000000004,1,0.822,0.178,1,0.0,0.0
2327145,2.5,1.4999999999999993,2,0.654,0.346,1,0.04,0.0
2337441,4.500000000000004,1.1600000000000006,2,0.12,0.88,2,0.0,0.01
2345613,1.5300000000000002,2.370000000000001,1,0.738,0.262,1,0.02,0.0
2339384,2.1999999999999975,1.6100000000000008,1,0.624,0.376,1,0.03,0.0
2319980,2.1999999999999975,1.6100000000000008,2,0.354,0.646,2,0.0,0.01
2341967,2.250000000000002,1.5699999999999992,2,0.48,0.52,2,0.01,0.0
2331597,1.25,3.7499999999999956,1,0.858,0.142,1,0.03,0.0
2338065,1.3599999999999994,3.0000000000000027,1,0.886,0.114,1,0.06,0.0
2336442,2.370000000000001,1.5300000000000002,1,0.42,0.58,2,0.0,0.0
2328499,1.4000000000000001,2.749999999999997,1,0.83,0.17,1,0.04,0.0
2326415,1.3300000000000005,3.249999999999997,1,0.438,0.562,2,0.0,0.04
2331903,2.62,1.440000000000001,2,0.372,0.628,2,0.0,0.0
2333429,2.749999999999997,1.4000000000000001,1,0.424,0.576,2,0.01,0.0
2329319,1.7999999999999985,1.9000000000000008,1,0.55,0.45,1,0.0,0.0
2341698,1.7999999999999985,1.9000000000000008,1,0.588,0.412,1,0.01,0.0
2315937,3.3999999999999946,1.3000000000000005,2,0.478,0.522,2,0.03,0.0
2314476,2.370000000000001,1.5300000000000002,2,0.486,0.514,2,0.01,0.0
2337178,4.0,1.22,2,0.248,0.752,2,0.0,0.0
2315704,1.5300000000000002,2.370000000000001,1,0.424,0.576,2,0.0,0.03
2333131,1.4000000000000001,2.749999999999997,2,0.386,0.614,2,0.0,0.04
2331805,1.7200000000000009,2.0,1,0.536,0.464,1,0.0,0.0
2333175,1.3599999999999994,3.0000000000000027,1,0.588,0.412,1,0.0,0.01
2330345,4.330000000000002,1.2000000000000004,2,0.294,0.706,2,0.01,0.0
2346386,1.25,3.7499999999999956,1,0.932,0.068,1,0.07,0.0
2319872,2.250000000000002,1.5699999999999992,1,0.466,0.534,2,0.0,0.0
2319994,3.499999999999996,1.28,1,0.166,0.834,2,0.0,0.02
2340741,1.440000000000001,2.62,1,0.774,0.226,1,0.03,0.0
2341044,1.6599999999999995,2.1000000000000005,2,0.478,0.522,2,0.0,0.01
2323164,1.25,3.7499999999999956,1,0.922,0.078,1,0.06,0.0
2338246,2.0,1.7200000000000009,1,0.532,0.468,1,0.01,0.0
2342191,1.1400000000000003,5.0,1,0.86,0.14,1,0.0,0.0
2339359,2.0,1.7200000000000009,1,0.468,0.532,2,0.0,0.0
2313842,1.5699999999999992,2.250000000000002,1,0.486,0.514,2,0.0,0.01
2332774,1.4999999999999993,2.5,2,0.554,0.446,1,0.0,0.01
2340420,1.5300000000000002,2.370000000000001,1,0.61,0.39,1,0.0,0.0
2324344,1.5699999999999992,2.250000000000002,2,0.384,0.616,2,0.0,0.03
2345735,3.0000000000000027,1.3599999999999994,2,0.306,0.694,2,0.0,0.0
2340403,1.8300000000000003,1.8300000000000003,2,0.456,0.544,2,0.0,0.0
2319995,1.440000000000001,2.62,2,0.638,0.362,1,0.0,0.0
2334592,1.1,6.499999999999994,1,0.944,0.056,1,0.04,0.0
2336954,1.4999999999999993,2.5,1,0.712,0.288,1,0.01,0.0
2345801,1.1400000000000003,5.0,1,0.824,0.176,1,0.0,0.0
2316536,3.7499999999999956,1.25,1,0.284,0.716,2,0.0,0.0
2313972,3.249999999999997,1.3300000000000005,2,0.418,0.582,2,0.02,0.0
2338295,2.0,1.7200000000000009,2,0.4,0.6,2,0.0,0.0
2323131,2.1999999999999975,1.6100000000000008,2,0.452,0.548,2,0.0,0.0
2337128,1.4000000000000001,2.749999999999997,1,0.824,0.176,1,0.04,0.0
2343641,2.0,1.7200000000000009,2,0.38939999999999997,0.6106,2,0.0,0.01
2327121,2.5,1.4999999999999993,2,0.446,0.554,2,0.01,0.0
2348171,3.0000000000000027,1.3599999999999994,2,0.228,0.772,2,0.0,0.01
2324124,1.6599999999999995,2.1000000000000005,1,0.546,0.454,1,0.0,0.0
2316380,1.7200000000000009,2.0,1,0.534,0.466,1,0.0,0.0
2344727,2.1000000000000005,1.6599999999999995,2,0.476,0.524,2,0.0,0.0
2329742,1.5300000000000002,2.370000000000001,1,0.738,0.262,1,0.02,0.0
2327790,1.6100000000000008,2.1999999999999975,1,0.574,0.426,1,0.0,0.0
2319072,2.250000000000002,1.5699999999999992,1,0.412,0.588,2,0.0,0.0
2319849,2.62,1.440000000000001,1,0.18,0.82,2,0.0,0.04
2318622,2.1999999999999975,1.6100000000000008,1,0.552,0.448,1,0.02,0.0
2322416,1.8300000000000003,1.8300000000000003,2,0.686,0.314,1,0.03,0.0
2314054,3.3999999999999946,1.3000000000000005,1,0.286,0.714,2,0.0,0.0
2336444,6.499999999999994,1.1,2,0.212,0.788,2,0.01,0.0
2343607,1.5699999999999992,2.250000000000002,2,0.466,0.534,2,0.0,0.02
2322009,1.3300000000000005,3.249999999999997,1,0.828,0.172,1,0.03,0.0
2325915,1.7200000000000009,2.0,1,0.492,0.508,2,0.0,0.0
2318550,1.9000000000000008,1.7999999999999985,2,0.608,0.392,1,0.02,0.0
2332194,2.62,1.440000000000001,2,0.402,0.598,2,0.0,0.0
2336686,2.1000000000000005,1.6599999999999995,2,0.4,0.6,2,0.0,0.0
2339364,1.5300000000000002,2.370000000000001,1,0.362,0.638,2,0.0,0.04
2346954,1.5300000000000002,2.370000000000001,1,0.718,0.282,1,0.02,0.0
2343687,1.3300000000000005,3.249999999999997,1,0.774,0.226,1,0.01,0.0
2335619,2.250000000000002,1.5699999999999992,1,0.378,0.622,2,0.0,0.0
2314371,1.6100000000000008,2.1999999999999975,1,0.506,0.494,1,0.0,0.01
2338658,2.62,1.440000000000001,2,0.262,0.738,2,0.0,0.01
2316580,4.0,1.22,2,0.26,0.74,2,0.0,0.0
2341718,2.62,1.440000000000001,2,0.268,0.732,2,0.0,0.01
2317272,2.1999999999999975,1.6100000000000008,1,0.522,0.478,1,0.01,0.0
2331065,1.5699999999999992,2.250000000000002,1,0.604,0.396,1,0.0,0.0
2335528,1.3300000000000005,3.249999999999997,1,0.492,0.508,2,0.0,0.03
2346328,1.1,6.499999999999994,2,0.404,0.596,2,0.0,0.05
2320989,2.0,1.7200000000000009,1,0.534,0.466,1,0.01,0.0
2345604,2.0,1.7200000000000009,2,0.536,0.464,1,0.01,0.0
2327361,1.5300000000000002,2.370000000000001,1,0.53,0.47,1,0.0,0.01
2336704,1.2000000000000004,4.330000000000002,1,0.946,0.054,1,0.07,0.0
2328239,2.62,1.440000000000001,2,0.43,0.57,2,0.01,0.0
2317295,1.3000000000000005,3.3999999999999946,2,0.59,0.41,1,0.0,0.02
2314007,1.4999999999999993,2.5,1,0.638,0.362,1,0.0,0.0
2314502,2.1000000000000005,1.6599999999999995,1,0.374,0.626,2,0.0,0.01
2315755,2.62,1.440000000000001,2,0.358,0.642,2,0.0,0.0
2340649,1.22,4.0,1,0.952,0.048,1,0.07,0.0
2331080,3.499999999999996,1.28,2,0.248,0.752,2,0.0,0.0
2321418,2.0,1.7200000000000009,1,0.418,0.582,2,0.0,0.0
2313891,2.0,1.7200000000000009,1,0.392,0.608,2,0.0,0.01
2344192,1.28,3.499999999999996,1,0.7,0.3,1,0.0,0.0
2329218,1.3599999999999994,3.0000000000000027,1,0.71,0.29,1,0.0,0.0
2342190,1.08,6.999999999999992,1,0.662,0.338,1,0.0,0.02
2336329,1.28,3.499999999999996,1,0.782,0.218,1,0.0,0.0
2342125,1.4000000000000001,2.749999999999997,2,0.466,0.534,2,0.0,0.03
2326374,2.1000000000000005,1.6599999999999995,2,0.45,0.55,2,0.0,0.0
2340384,2.250000000000002,1.5699999999999992,2,0.434,0.566,2,0.0,0.0
2317632,1.3599999999999994,3.0000000000000027,1,0.596,0.404,1,0.0,0.01
2322805,3.3999999999999946,1.3000000000000005,1,0.372,0.628,2,0.01,0.0
2326426,2.370000000000001,1.5300000000000002,2,0.3205,0.6795,2,0.0,0.01
2337826,1.6599999999999995,2.1000000000000005,1,0.548,0.452,1,0.0,0.0
2332195,1.1199999999999999,5.499999999999994,1,0.966,0.034,1,0.07,0.0
2342376,1.1600000000000006,4.500000000000004,1,0.926,0.074,1,0.05,0.0
2319509,1.3300000000000005,3.249999999999997,2,0.672,0.328,1,0.0,0.0
2333296,1.7200000000000009,2.0,1,0.468,0.532,2,0.0,0.01
2330344,1.25,3.7499999999999956,1,0.838,0.162,1,0.02,0.0
2313951,2.1000000000000005,1.6599999999999995,2,0.342,0.658,2,0.0,0.01
2319452,1.5699999999999992,2.250000000000002,1,0.74,0.26,1,0.03,0.0
2322550,1.25,3.7499999999999956,1,0.582,0.418,1,0.0,0.02
2319881,3.499999999999996,1.28,1,0.412,0.588,2,0.02,0.0
2339383,1.5300000000000002,2.370000000000001,2,0.56,0.44,1,0.0,0.0
2345620,2.250000000000002,1.5699999999999992,1,0.294,0.706,2,0.0,0.02
2319897,1.6599999999999995,2.1000000000000005,2,0.58,0.42,1,0.0,0.0
